A compendium of geochemical information from the Saanich Inlet water column. ScientificData. Nature,,,,,,,,,,,,,
"Authors: Monica Torres Beltran, Alyse K. Hawely, David Capelle, Elena Zaikova, David A. Walsh, Andreas Mueller ",,,,,,,,,,,,,
"Melanie Scofield, Sam Kheirandish, Chris Payne, Larysa Pakhomova, Maya Bathia, Olena Shevchuk, Esther A. Gies",,,,,,,,,,,,,
"Diane Fairley, Tijana Glavina del Rio, Susannah Tringe, Frank Whitney, Philippe D. Tortell, Steven J. Hallam",,,,,,,,,,,,,
"Affiliations:Department of Microbiology and Immunology, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
"Earth, Ocean and Atmospheric Sciences, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
"Department of Biology, Concordia University, Montreal, QC.Canada",,,,,,,,,,,,,
"Department of Energy Joint Genome Institute, Walnut Creek, CA.USA",,,,,,,,,,,,,
"Institute of Ocean Sciences, Fisheries and Oceans Canada, Sidney, BC. Canada",,,,,,,,,,,,,
"Department of Botany, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
"Genome Science and Technology Program, University of British Columbia, Vancouver, BC. Canada",,,,,,,,,,,,,
,,,,,,,,,,,,,
Saanich Inlet time-series chemical dataset,,,,,,,,,,,,,
Data derived from seawater samples taken as described in manuscript methods,,,,,,,,,,,,,
Key to the data fields is described on Saanich_TimeSeries_CTD_dataset_README.csv file,,,,,,,,,,,,,
,,,,,,,,,,,,,
Longitude,Latitude,Cruise,Date,Pressure,Temperature ,Conductivity,Fluorescence,Beam Transmission,PAR/Irradiance,"Oxygen, SBE",Oxygen ,Salinity,Density
-123.505,48.59166667,37,2009-09-02,165.087,9.067,NAN,NAN,NAN,NAN,0.468,2.556,31.232,
-123.505,48.59166667,37,2009-09-02,165.215,9.068,NAN,NAN,NAN,NAN,0.464,2.621,31.234,
-123.505,48.59166667,37,2009-09-02,165.339,9.07,NAN,NAN,NAN,NAN,0.47,2.415,31.235,
-123.505,48.59166667,37,2009-09-02,165.452,9.071,NAN,NAN,NAN,NAN,0.479,2.492,31.24,
-123.505,48.59166667,37,2009-09-02,165.567,9.075,NAN,NAN,NAN,NAN,0.484,2.504,31.24,
-123.505,48.59166667,37,2009-09-02,165.695,9.078,NAN,NAN,NAN,NAN,0.491,2.59,31.238,
-123.505,48.59166667,37,2009-09-02,165.825,9.08,NAN,NAN,NAN,NAN,0.488,2.452,31.239,
-123.505,48.59166667,37,2009-09-02,165.956,9.082,NAN,NAN,NAN,NAN,0.47,2.402,31.239,
-123.505,48.59166667,37,2009-09-02,166.084,9.085,NAN,NAN,NAN,NAN,0.484,2.493,31.238,
-123.505,48.59166667,37,2009-09-02,166.205,9.086,NAN,NAN,NAN,NAN,0.468,2.485,31.239,
-123.505,48.59166667,37,2009-09-02,166.333,9.088,NAN,NAN,NAN,NAN,0.482,2.555,31.238,
-123.505,48.59166667,37,2009-09-02,166.448,9.089,NAN,NAN,NAN,NAN,0.464,2.581,31.237,
-123.505,48.59166667,37,2009-09-02,166.56,9.089,NAN,NAN,NAN,NAN,0.477,2.565,31.237,
-123.505,48.59166667,37,2009-09-02,166.676,9.09,NAN,NAN,NAN,NAN,0.49,2.471,31.238,
-123.505,48.59166667,37,2009-09-02,166.797,9.091,NAN,NAN,NAN,NAN,0.47,2.429,31.237,
-123.505,48.59166667,37,2009-09-02,166.919,9.091,NAN,NAN,NAN,NAN,0.469,2.389,31.238,
-123.505,48.59166667,37,2009-09-02,167.046,9.091,NAN,NAN,NAN,NAN,0.488,2.397,31.238,
-123.505,48.59166667,37,2009-09-02,167.177,9.092,NAN,NAN,NAN,NAN,0.477,2.405,31.238,
-123.505,48.59166667,37,2009-09-02,167.298,9.092,NAN,NAN,NAN,NAN,0.481,2.385,31.238,
-123.505,48.59166667,37,2009-09-02,167.42,9.092,NAN,NAN,NAN,NAN,0.469,2.564,31.238,
-123.505,48.59166667,37,2009-09-02,167.55,9.093,NAN,NAN,NAN,NAN,0.475,2.571,31.238,
-123.505,48.59166667,37,2009-09-02,167.669,9.093,NAN,NAN,NAN,NAN,0.469,2.505,31.238,
-123.505,48.59166667,37,2009-09-02,167.79,9.093,NAN,NAN,NAN,NAN,0.473,2.445,31.238,
-123.505,48.59166667,37,2009-09-02,167.912,9.093,NAN,NAN,NAN,NAN,0.471,2.277,31.238,
-123.505,48.59166667,37,2009-09-02,168.027,9.093,NAN,NAN,NAN,NAN,0.483,2.268,31.238,
-123.505,48.59166667,37,2009-09-02,168.152,9.093,NAN,NAN,NAN,NAN,0.477,2.201,31.238,
-123.505,48.59166667,37,2009-09-02,168.273,9.093,NAN,NAN,NAN,NAN,0.476,2.294,31.238,
-123.505,48.59166667,37,2009-09-02,168.394,9.093,NAN,NAN,NAN,NAN,0.483,2.175,31.238,
-123.505,48.59166667,37,2009-09-02,168.513,9.093,NAN,NAN,NAN,NAN,0.469,2.405,31.237,
-123.505,48.59166667,37,2009-09-02,168.65,9.093,NAN,NAN,NAN,NAN,0.458,2.437,31.238,
-123.505,48.59166667,37,2009-09-02,168.777,9.093,NAN,NAN,NAN,NAN,0.469,2.547,31.236,
-123.505,48.59166667,37,2009-09-02,168.902,9.092,NAN,NAN,NAN,NAN,0.469,2.521,31.236,
-123.505,48.59166667,37,2009-09-02,169.023,9.091,NAN,NAN,NAN,NAN,0.483,2.398,31.236,
-123.505,48.59166667,37,2009-09-02,169.135,9.09,NAN,NAN,NAN,NAN,0.469,2.549,31.237,
-123.505,48.59166667,37,2009-09-02,169.257,9.09,NAN,NAN,NAN,NAN,0.472,2.447,31.238,
-123.505,48.59166667,37,2009-09-02,169.372,9.09,NAN,NAN,NAN,NAN,0.472,2.475,31.238,
-123.505,48.59166667,37,2009-09-02,169.497,9.09,NAN,NAN,NAN,NAN,0.459,2.259,31.237,
-123.505,48.59166667,37,2009-09-02,169.624,9.09,NAN,NAN,NAN,NAN,0.469,2.385,31.237,
-123.505,48.59166667,37,2009-09-02,169.743,9.09,NAN,NAN,NAN,NAN,0.468,2.336,31.236,
-123.505,48.59166667,37,2009-09-02,169.867,9.09,NAN,NAN,NAN,NAN,0.486,2.405,31.236,
-123.505,48.59166667,37,2009-09-02,169.986,9.089,NAN,NAN,NAN,NAN,0.47,2.424,31.237,
-123.505,48.59166667,37,2009-09-02,170.11,9.088,NAN,NAN,NAN,NAN,0.468,2.362,31.237,
-123.505,48.59166667,37,2009-09-02,170.238,9.088,NAN,NAN,NAN,NAN,0.485,2.483,31.239,
-123.505,48.59166667,37,2009-09-02,170.356,9.089,NAN,NAN,NAN,NAN,0.485,2.443,31.239,
-123.505,48.59166667,37,2009-09-02,170.478,9.089,NAN,NAN,NAN,NAN,0.473,2.457,31.239,
-123.505,48.59166667,37,2009-09-02,170.602,9.09,NAN,NAN,NAN,NAN,0.485,2.371,31.238,
-123.505,48.59166667,37,2009-09-02,170.724,9.09,NAN,NAN,NAN,NAN,0.475,2.338,31.239,
-123.505,48.59166667,37,2009-09-02,170.833,9.09,NAN,NAN,NAN,NAN,0.479,2.36,31.239,
-123.505,48.59166667,37,2009-09-02,170.951,9.091,NAN,NAN,NAN,NAN,0.482,2.318,31.239,
-123.505,48.59166667,37,2009-09-02,171.076,9.091,NAN,NAN,NAN,NAN,0.494,2.263,31.239,
-123.505,48.59166667,37,2009-09-02,171.203,9.092,NAN,NAN,NAN,NAN,0.473,2.34,31.243,
-123.505,48.59166667,37,2009-09-02,171.337,9.094,NAN,NAN,NAN,NAN,0.459,2.432,31.247,
-123.505,48.59166667,37,2009-09-02,171.458,9.097,NAN,NAN,NAN,NAN,0.49,2.487,31.249,
-123.505,48.59166667,37,2009-09-02,171.577,9.101,NAN,NAN,NAN,NAN,0.483,2.437,31.249,
-123.505,48.59166667,37,2009-09-02,171.698,9.104,NAN,NAN,NAN,NAN,0.476,2.555,31.249,
-123.505,48.59166667,37,2009-09-02,171.823,9.107,NAN,NAN,NAN,NAN,0.497,2.431,31.25,
-123.505,48.59166667,37,2009-09-02,171.941,9.109,NAN,NAN,NAN,NAN,0.482,2.344,31.249,
-123.505,48.59166667,37,2009-09-02,172.057,9.111,NAN,NAN,NAN,NAN,0.469,2.353,31.248,
-123.505,48.59166667,37,2009-09-02,172.181,9.113,NAN,NAN,NAN,NAN,0.472,2.204,31.246,
-123.505,48.59166667,37,2009-09-02,172.303,9.113,NAN,NAN,NAN,NAN,0.473,2.291,31.247,
-123.505,48.59166667,37,2009-09-02,172.421,9.114,NAN,NAN,NAN,NAN,0.462,2.223,31.249,
-123.505,48.59166667,37,2009-09-02,172.546,9.115,NAN,NAN,NAN,NAN,0.468,2.225,31.247,
-123.505,48.59166667,37,2009-09-02,172.679,9.116,NAN,NAN,NAN,NAN,0.481,2.298,31.247,
-123.505,48.59166667,37,2009-09-02,172.816,9.116,NAN,NAN,NAN,NAN,0.481,2.409,31.247,
-123.505,48.59166667,37,2009-09-02,172.931,9.116,NAN,NAN,NAN,NAN,0.485,2.252,31.247,
-123.505,48.59166667,37,2009-09-02,173.056,9.116,NAN,NAN,NAN,NAN,0.485,2.254,31.248,
-123.505,48.59166667,37,2009-09-02,173.174,9.117,NAN,NAN,NAN,NAN,0.477,2.313,31.248,
-123.505,48.59166667,37,2009-09-02,173.293,9.117,NAN,NAN,NAN,NAN,0.486,2.211,31.247,
-123.505,48.59166667,37,2009-09-02,173.399,9.117,NAN,NAN,NAN,NAN,0.488,2.445,31.247,
-123.505,48.59166667,37,2009-09-02,173.514,9.117,NAN,NAN,NAN,NAN,0.497,2.409,31.247,
-123.505,48.59166667,37,2009-09-02,173.63,9.117,NAN,NAN,NAN,NAN,0.499,2.354,31.247,
-123.505,48.59166667,37,2009-09-02,173.754,9.117,NAN,NAN,NAN,NAN,0.507,2.429,31.247,
-123.505,48.59166667,37,2009-09-02,173.885,9.117,NAN,NAN,NAN,NAN,0.476,2.361,31.247,
-123.505,48.59166667,37,2009-09-02,174.021,9.117,NAN,NAN,NAN,NAN,0.475,2.327,31.247,
-123.505,48.59166667,37,2009-09-02,174.134,9.117,NAN,NAN,NAN,NAN,0.472,2.416,31.247,
-123.505,48.59166667,37,2009-09-02,174.258,9.117,NAN,NAN,NAN,NAN,0.489,2.343,31.247,
-123.505,48.59166667,37,2009-09-02,174.374,9.117,NAN,NAN,NAN,NAN,0.496,2.194,31.247,
-123.505,48.59166667,37,2009-09-02,174.483,9.117,NAN,NAN,NAN,NAN,0.497,2.319,31.247,
-123.505,48.59166667,37,2009-09-02,174.598,9.116,NAN,NAN,NAN,NAN,0.483,2.475,31.248,
-123.505,48.59166667,37,2009-09-02,174.714,9.117,NAN,NAN,NAN,NAN,0.483,2.38,31.247,
-123.505,48.59166667,37,2009-09-02,174.829,9.116,NAN,NAN,NAN,NAN,0.484,2.376,31.247,
-123.505,48.59166667,37,2009-09-02,174.951,9.116,NAN,NAN,NAN,NAN,0.49,2.374,31.247,
-123.505,48.59166667,37,2009-09-02,175.072,9.116,NAN,NAN,NAN,NAN,0.491,2.414,31.248,
-123.505,48.59166667,37,2009-09-02,175.193,9.116,NAN,NAN,NAN,NAN,0.488,2.409,31.247,
-123.505,48.59166667,37,2009-09-02,175.33,9.116,NAN,NAN,NAN,NAN,0.475,2.36,31.248,
-123.505,48.59166667,37,2009-09-02,175.442,9.116,NAN,NAN,NAN,NAN,0.479,2.284,31.247,
-123.505,48.59166667,37,2009-09-02,175.549,9.116,NAN,NAN,NAN,NAN,0.469,2.294,31.248,
-123.505,48.59166667,37,2009-09-02,175.673,9.116,NAN,NAN,NAN,NAN,0.473,2.371,31.248,
-123.505,48.59166667,37,2009-09-02,175.786,9.116,NAN,NAN,NAN,NAN,0.483,2.265,31.247,
-123.505,48.59166667,37,2009-09-02,175.892,9.116,NAN,NAN,NAN,NAN,0.496,2.163,31.248,
-123.505,48.59166667,37,2009-09-02,176.007,9.116,NAN,NAN,NAN,NAN,0.492,2.096,31.247,
-123.505,48.59166667,37,2009-09-02,176.129,9.116,NAN,NAN,NAN,NAN,0.494,2.171,31.247,
-123.505,48.59166667,37,2009-09-02,176.25,9.116,NAN,NAN,NAN,NAN,0.482,2.275,31.247,
-123.505,48.59166667,37,2009-09-02,176.372,9.116,NAN,NAN,NAN,NAN,0.49,2.206,31.248,
-123.505,48.59166667,37,2009-09-02,176.499,9.116,NAN,NAN,NAN,NAN,0.479,2.171,31.247,
-123.505,48.59166667,37,2009-09-02,176.612,9.116,NAN,NAN,NAN,NAN,0.491,2.347,31.247,
-123.505,48.59166667,37,2009-09-02,176.739,9.115,NAN,NAN,NAN,NAN,0.479,2.392,31.246,
-123.505,48.59166667,37,2009-09-02,176.851,9.114,NAN,NAN,NAN,NAN,0.492,2.415,31.246,
-123.505,48.59166667,37,2009-09-02,176.973,9.113,NAN,NAN,NAN,NAN,0.479,2.353,31.245,
-123.505,48.59166667,37,2009-09-02,177.1,9.111,NAN,NAN,NAN,NAN,0.485,2.349,31.245,
-123.505,48.59166667,37,2009-09-02,177.21,9.11,NAN,NAN,NAN,NAN,0.477,2.271,31.246,
-123.505,48.59166667,37,2009-09-02,177.334,9.109,NAN,NAN,NAN,NAN,0.481,2.424,31.246,
-123.505,48.59166667,37,2009-09-02,177.444,9.107,NAN,NAN,NAN,NAN,0.471,2.401,31.247,
-123.505,48.59166667,37,2009-09-02,177.565,9.107,NAN,NAN,NAN,NAN,0.473,2.33,31.247,
-123.505,48.59166667,37,2009-09-02,177.683,9.106,NAN,NAN,NAN,NAN,0.488,2.497,31.248,
-123.505,48.59166667,37,2009-09-02,177.802,9.105,NAN,NAN,NAN,NAN,0.465,2.334,31.248,
-123.505,48.59166667,37,2009-09-02,177.923,9.105,NAN,NAN,NAN,NAN,0.485,2.456,31.248,
-123.505,48.59166667,37,2009-09-02,178.042,9.105,NAN,NAN,NAN,NAN,0.486,2.238,31.249,
-123.505,48.59166667,37,2009-09-02,178.163,9.105,NAN,NAN,NAN,NAN,0.491,2.122,31.249,
-123.505,48.59166667,37,2009-09-02,178.285,9.105,NAN,NAN,NAN,NAN,0.475,2.105,31.249,
-123.505,48.59166667,37,2009-09-02,178.406,9.105,NAN,NAN,NAN,NAN,0.495,2.19,31.249,
-123.505,48.59166667,37,2009-09-02,178.528,9.105,NAN,NAN,NAN,NAN,0.499,2.26,31.249,
-123.505,48.59166667,37,2009-09-02,178.649,9.105,NAN,NAN,NAN,NAN,0.469,2.311,31.249,
-123.505,48.59166667,37,2009-09-02,178.77,9.105,NAN,NAN,NAN,NAN,0.484,2.249,31.249,
-123.505,48.59166667,37,2009-09-02,178.889,9.105,NAN,NAN,NAN,NAN,0.476,2.466,31.249,
-123.505,48.59166667,37,2009-09-02,179.001,9.105,NAN,NAN,NAN,NAN,0.508,2.318,31.249,
-123.505,48.59166667,37,2009-09-02,179.117,9.105,NAN,NAN,NAN,NAN,0.486,2.167,31.25,
-123.505,48.59166667,37,2009-09-02,179.22,9.106,NAN,NAN,NAN,NAN,0.471,2.144,31.25,
-123.505,48.59166667,37,2009-09-02,179.341,9.106,NAN,NAN,NAN,NAN,0.477,2.07,31.25,
-123.505,48.59166667,37,2009-09-02,179.472,9.106,NAN,NAN,NAN,NAN,0.492,2.204,31.25,
-123.505,48.59166667,37,2009-09-02,179.587,9.107,NAN,NAN,NAN,NAN,0.477,2.136,31.251,
-123.505,48.59166667,37,2009-09-02,179.715,9.107,NAN,NAN,NAN,NAN,0.485,2.354,31.252,
-123.505,48.59166667,37,2009-09-02,179.839,9.108,NAN,NAN,NAN,NAN,0.477,2.183,31.252,
-123.505,48.59166667,37,2009-09-02,179.961,9.109,NAN,NAN,NAN,NAN,0.486,2.306,31.252,
-123.505,48.59166667,37,2009-09-02,180.076,9.109,NAN,NAN,NAN,NAN,0.469,2.407,31.251,
-123.505,48.59166667,37,2009-09-02,180.201,9.11,NAN,NAN,NAN,NAN,0.478,2.171,31.252,
-123.505,48.59166667,37,2009-09-02,180.313,9.11,NAN,NAN,NAN,NAN,0.488,2.148,31.252,
-123.505,48.59166667,37,2009-09-02,180.425,9.111,NAN,NAN,NAN,NAN,0.483,2.376,31.252,
-123.505,48.59166667,37,2009-09-02,180.553,9.111,NAN,NAN,NAN,NAN,0.478,2.285,31.252,
-123.505,48.59166667,37,2009-09-02,180.665,9.111,NAN,NAN,NAN,NAN,0.471,2.352,31.252,
-123.505,48.59166667,37,2009-09-02,180.784,9.111,NAN,NAN,NAN,NAN,0.486,2.265,31.252,
-123.505,48.59166667,37,2009-09-02,180.905,9.112,NAN,NAN,NAN,NAN,0.482,2.246,31.252,
-123.505,48.59166667,37,2009-09-02,181.023,9.112,NAN,NAN,NAN,NAN,0.482,2.23,31.252,
-123.505,48.59166667,37,2009-09-02,181.136,9.112,NAN,NAN,NAN,NAN,0.472,2.218,31.252,
-123.505,48.59166667,37,2009-09-02,181.257,9.112,NAN,NAN,NAN,NAN,0.472,2.225,31.252,
-123.505,48.59166667,37,2009-09-02,181.376,9.112,NAN,NAN,NAN,NAN,0.482,2.15,31.252,
-123.505,48.59166667,37,2009-09-02,181.503,9.112,NAN,NAN,NAN,NAN,0.488,2.262,31.252,
-123.505,48.59166667,37,2009-09-02,181.625,9.112,NAN,NAN,NAN,NAN,0.481,2.126,31.252,
-123.505,48.59166667,37,2009-09-02,181.749,9.112,NAN,NAN,NAN,NAN,0.478,2.266,31.252,
-123.505,48.59166667,37,2009-09-02,181.871,9.112,NAN,NAN,NAN,NAN,0.482,2.463,31.252,
-123.505,48.59166667,37,2009-09-02,181.989,9.113,NAN,NAN,NAN,NAN,0.479,2.255,31.252,
-123.505,48.59166667,37,2009-09-02,182.117,9.112,NAN,NAN,NAN,NAN,0.486,2.328,31.253,
-123.505,48.59166667,37,2009-09-02,182.229,9.113,NAN,NAN,NAN,NAN,0.471,2.309,31.252,
-123.505,48.59166667,37,2009-09-02,182.344,9.113,NAN,NAN,NAN,NAN,0.479,2.134,31.253,
-123.505,48.59166667,37,2009-09-02,182.451,9.113,NAN,NAN,NAN,NAN,0.483,2.264,31.253,
-123.505,48.59166667,37,2009-09-02,182.572,9.113,NAN,NAN,NAN,NAN,0.471,2.203,31.252,
-123.505,48.59166667,37,2009-09-02,182.693,9.113,NAN,NAN,NAN,NAN,0.472,2.156,31.253,
-123.505,48.59166667,37,2009-09-02,182.821,9.114,NAN,NAN,NAN,NAN,0.479,2.147,31.253,
-123.505,48.59166667,37,2009-09-02,182.942,9.114,NAN,NAN,NAN,NAN,0.483,2.22,31.254,
-123.505,48.59166667,37,2009-09-02,183.067,9.114,NAN,NAN,NAN,NAN,0.478,2.223,31.254,
-123.505,48.59166667,37,2009-09-02,183.188,9.115,NAN,NAN,NAN,NAN,0.477,2.364,31.254,
-123.505,48.59166667,37,2009-09-02,183.304,9.116,NAN,NAN,NAN,NAN,0.479,2.175,31.253,
-123.505,48.59166667,37,2009-09-02,183.425,9.116,NAN,NAN,NAN,NAN,0.49,2.227,31.253,
-123.505,48.59166667,37,2009-09-02,183.547,9.116,NAN,NAN,NAN,NAN,0.492,2.27,31.254,
-123.505,48.59166667,37,2009-09-02,183.665,9.116,NAN,NAN,NAN,NAN,0.484,2.091,31.253,
-123.505,48.59166667,37,2009-09-02,183.79,9.116,NAN,NAN,NAN,NAN,0.485,2.168,31.254,
-123.505,48.59166667,37,2009-09-02,183.902,9.117,NAN,NAN,NAN,NAN,0.485,2.162,31.254,
-123.505,48.59166667,37,2009-09-02,184.026,9.117,NAN,NAN,NAN,NAN,0.469,1.957,31.254,
-123.505,48.59166667,37,2009-09-02,184.145,9.117,NAN,NAN,NAN,NAN,0.464,2.153,31.254,
-123.505,48.59166667,37,2009-09-02,184.248,9.117,NAN,NAN,NAN,NAN,0.479,2.126,31.254,
-123.505,48.59166667,37,2009-09-02,184.366,9.117,NAN,NAN,NAN,NAN,0.479,2.184,31.255,
-123.505,48.59166667,37,2009-09-02,184.485,9.118,NAN,NAN,NAN,NAN,0.478,2.307,31.255,
-123.505,48.59166667,37,2009-09-02,184.609,9.118,NAN,NAN,NAN,NAN,0.472,2.133,31.255,
-123.505,48.59166667,37,2009-09-02,184.722,9.118,NAN,NAN,NAN,NAN,0.482,2.179,31.255,
-123.505,48.59166667,37,2009-09-02,184.84,9.118,NAN,NAN,NAN,NAN,0.483,2.331,31.255,
-123.505,48.59166667,37,2009-09-02,184.962,9.119,NAN,NAN,NAN,NAN,0.477,2.395,31.255,
-123.505,48.59166667,37,2009-09-02,185.086,9.119,NAN,NAN,NAN,NAN,0.479,2.13,31.255,
-123.505,48.59166667,37,2009-09-02,185.217,9.119,NAN,NAN,NAN,NAN,0.488,2.041,31.255,
-123.505,48.59166667,37,2009-09-02,185.344,9.119,NAN,NAN,NAN,NAN,0.477,1.959,31.255,
-123.505,48.59166667,37,2009-09-02,185.472,9.12,NAN,NAN,NAN,NAN,0.473,2.159,31.255,
-123.505,48.59166667,37,2009-09-02,185.596,9.12,NAN,NAN,NAN,NAN,0.472,2.108,31.255,
-123.505,48.59166667,37,2009-09-02,185.696,9.12,NAN,NAN,NAN,NAN,0.505,2.113,31.256,
-123.505,48.59166667,37,2009-09-02,185.815,9.12,NAN,NAN,NAN,NAN,0.485,2.077,31.256,
-123.505,48.59166667,37,2009-09-02,185.927,9.121,NAN,NAN,NAN,NAN,0.479,2.022,31.256,
-123.505,48.59166667,37,2009-09-02,186.036,9.121,NAN,NAN,NAN,NAN,0.478,2.157,31.256,
-123.505,48.59166667,37,2009-09-02,186.149,9.121,NAN,NAN,NAN,NAN,0.478,2.167,31.255,
-123.505,48.59166667,37,2009-09-02,186.279,9.121,NAN,NAN,NAN,NAN,0.482,2.304,31.256,
-123.505,48.59166667,37,2009-09-02,186.398,9.122,NAN,NAN,NAN,NAN,0.477,2.303,31.258,
-123.505,48.59166667,37,2009-09-02,186.516,9.123,NAN,NAN,NAN,NAN,0.49,2.299,31.259,
-123.505,48.59166667,37,2009-09-02,186.641,9.124,NAN,NAN,NAN,NAN,0.476,2.293,31.26,
-123.505,48.59166667,37,2009-09-02,186.765,9.125,NAN,NAN,NAN,NAN,0.486,2.263,31.261,
-123.505,48.59166667,37,2009-09-02,186.89,9.127,NAN,NAN,NAN,NAN,0.482,2.257,31.261,
-123.505,48.59166667,37,2009-09-02,187.008,9.128,NAN,NAN,NAN,NAN,0.491,2.26,31.261,
-123.505,48.59166667,37,2009-09-02,187.117,9.129,NAN,NAN,NAN,NAN,0.485,2.095,31.26,
-123.505,48.59166667,37,2009-09-02,187.236,9.13,NAN,NAN,NAN,NAN,0.483,1.948,31.26,
-123.505,48.59166667,37,2009-09-02,187.345,9.13,NAN,NAN,NAN,NAN,0.485,2.125,31.259,
-123.505,48.59166667,37,2009-09-02,187.457,9.13,NAN,NAN,NAN,NAN,0.488,2.292,31.259,
-123.505,48.59166667,37,2009-09-02,187.576,9.13,NAN,NAN,NAN,NAN,0.491,2.118,31.26,
-123.505,48.59166667,37,2009-09-02,187.688,9.131,NAN,NAN,NAN,NAN,0.478,2.059,31.262,
-123.505,48.59166667,37,2009-09-02,187.81,9.132,NAN,NAN,NAN,NAN,0.484,2.185,31.263,
-123.505,48.59166667,37,2009-09-02,187.937,9.134,NAN,NAN,NAN,NAN,0.477,2.091,31.263,
-123.505,48.59166667,37,2009-09-02,188.055,9.135,NAN,NAN,NAN,NAN,0.473,2.246,31.262,
-123.505,48.59166667,37,2009-09-02,188.177,9.135,NAN,NAN,NAN,NAN,0.473,2.027,31.263,
-123.505,48.59166667,37,2009-09-02,188.301,9.136,NAN,NAN,NAN,NAN,0.485,2.036,31.262,
-123.505,48.59166667,37,2009-09-02,188.414,9.137,NAN,NAN,NAN,NAN,0.494,2.207,31.262,
-123.505,48.59166667,37,2009-09-02,188.541,9.137,NAN,NAN,NAN,NAN,0.481,2.291,31.262,
-123.505,48.59166667,37,2009-09-02,188.648,9.137,NAN,NAN,NAN,NAN,0.485,2.289,31.262,
-123.505,48.59166667,37,2009-09-02,188.763,9.137,NAN,NAN,NAN,NAN,0.479,2.165,31.262,
-123.505,48.59166667,37,2009-09-02,188.872,9.137,NAN,NAN,NAN,NAN,0.488,2.234,31.262,
-123.505,48.59166667,37,2009-09-02,188.994,9.137,NAN,NAN,NAN,NAN,0.484,2.14,31.263,
-123.505,48.59166667,37,2009-09-02,189.109,9.138,NAN,NAN,NAN,NAN,0.475,2.118,31.264,
-123.505,48.59166667,37,2009-09-02,189.252,9.138,NAN,NAN,NAN,NAN,0.472,2.113,31.265,
-123.505,48.59166667,37,2009-09-02,189.373,9.14,NAN,NAN,NAN,NAN,0.479,2.008,31.267,
-123.505,48.59166667,37,2009-09-02,189.489,9.141,NAN,NAN,NAN,NAN,0.478,2.089,31.266,
-123.505,48.59166667,37,2009-09-02,189.613,9.142,NAN,NAN,NAN,NAN,0.482,2.23,31.265,
-123.505,48.59166667,37,2009-09-02,189.734,9.143,NAN,NAN,NAN,NAN,0.492,2.114,31.266,
-123.505,48.59166667,37,2009-09-02,189.85,9.144,NAN,NAN,NAN,NAN,0.478,2.128,31.266,
-123.505,48.59166667,37,2009-09-02,189.968,9.144,NAN,NAN,NAN,NAN,0.476,2.197,31.267,
-123.505,48.59166667,37,2009-09-02,190.081,9.145,NAN,NAN,NAN,NAN,0.479,2.128,31.266,
-123.505,48.59166667,37,2009-09-02,190.199,9.146,NAN,NAN,NAN,NAN,0.481,2.063,31.266,
-123.505,48.59166667,37,2009-09-02,190.32,9.146,NAN,NAN,NAN,NAN,0.477,2.067,31.266,
-123.505,48.59166667,37,2009-09-02,190.448,9.146,NAN,NAN,NAN,NAN,0.491,2.016,31.268,
-123.505,48.59166667,37,2009-09-02,190.569,9.147,NAN,NAN,NAN,NAN,0.475,2.097,31.268,
-123.505,48.59166667,37,2009-09-02,190.697,9.148,NAN,NAN,NAN,NAN,0.47,2.098,31.268,
-123.505,48.59166667,37,2009-09-02,190.824,9.149,NAN,NAN,NAN,NAN,0.484,2.063,31.268,
-123.505,48.59166667,37,2009-09-02,190.949,9.149,NAN,NAN,NAN,NAN,0.481,2.039,31.269,
-123.505,48.59166667,37,2009-09-02,191.067,9.15,NAN,NAN,NAN,NAN,0.483,2.169,31.269,
-123.505,48.59166667,37,2009-09-02,191.186,9.151,NAN,NAN,NAN,NAN,0.485,2.255,31.269,
-123.505,48.59166667,37,2009-09-02,191.298,9.152,NAN,NAN,NAN,NAN,0.475,2.078,31.269,
-123.505,48.59166667,37,2009-09-02,191.407,9.152,NAN,NAN,NAN,NAN,0.486,2.171,31.269,
-123.505,48.59166667,37,2009-09-02,191.52,9.153,NAN,NAN,NAN,NAN,0.476,2.098,31.27,
-123.505,48.59166667,37,2009-09-02,191.638,9.153,NAN,NAN,NAN,NAN,0.472,2.078,31.269,
-123.505,48.59166667,37,2009-09-02,191.76,9.154,NAN,NAN,NAN,NAN,0.485,2.025,31.27,
-123.505,48.59166667,37,2009-09-02,191.893,9.154,NAN,NAN,NAN,NAN,0.488,2.112,31.271,
-123.505,48.59166667,37,2009-09-02,192.024,9.155,NAN,NAN,NAN,NAN,0.478,2.201,31.272,
-123.505,48.59166667,37,2009-09-02,192.154,9.157,NAN,NAN,NAN,NAN,0.481,2.119,31.272,
-123.505,48.59166667,37,2009-09-02,192.279,9.158,NAN,NAN,NAN,NAN,0.476,2.166,31.272,
-123.505,48.59166667,37,2009-09-02,192.397,9.159,NAN,NAN,NAN,NAN,0.483,2.129,31.272,
-123.505,48.59166667,37,2009-09-02,192.516,9.159,NAN,NAN,NAN,NAN,0.482,2.115,31.271,
-123.505,48.59166667,37,2009-09-02,192.619,9.16,NAN,NAN,NAN,NAN,0.478,2.056,31.271,
